"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2TRIALS_wave2.nlogo"
"experiments 2 seeds"
"11/27/2020 01:13:26:794 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"113","77","1047434","1049245","5","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","4","0","78","0","0","0","0"
"108","334","1226138","1227638","2","0","7","0","1","17","0","30","0","1","172","0","373","0","3","255","0","558","0","6","284","579","7","335","1","1","5","6"
"115","107","1276653","1278142","8","0","3","0","0","14","0","8","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","14","8","0","108","0","0","0","1"
"112","244","1048734","1050467","55","3","145","0","0","193","9","279","3","4","251","9","421","3","4","-1","-1","-1","-1","-1","253","421","4","245","0","0","5","8"
"116","105","1286140","1287621","5","0","6","0","0","13","0","11","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","13","11","0","106","0","2","0","3"
"118","93","1295668","1297096","1","0","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","10","0","94","1","1","0","1"
"114","317","1054904","1056411","14","1","13","0","0","74","14","64","2","1","315","14","592","2","5","381","26","685","6","5","384","688","5","318","0","1","8","10"
"119","114","1304021","1305779","5","0","7","0","0","12","0","14","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","12","14","0","115","0","0","0","0"
"120","108","1108274","1109781","4","0","8","0","0","6","0","11","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","11","0","109","0","0","0","0"
"122","63","1117659","1119133","2","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","2","0","64","0","0","0","1"
"123","34","1124492","1125985","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","1","0","35","0","0","0","0"
"117","360","1086931","1088385","32","0","112","0","1","162","39","262","10","1","245","39","468","10","3","304","50","503","15","4","349","599","5","361","1","0","1","11"
"125","77","1141182","1142687","6","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6","7","0","78","0","0","0","1"
"121","302","1314013","1315776","59","17","136","3","0","212","47","315","14","3","334","47","623","14","3","350","47","637","14","4","356","637","4","303","0","0","7","2"
"127","112","1367815","1369402","13","0","9","0","0","17","0","23","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","17","23","0","113","1","2","0","5"
