"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2TRIALS.nlogo"
"experiments 2 seeds"
"08/27/2020 00:27:22:559 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"126","190","1476033","1477333","19","17","18","6","1","68","51","99","11","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","97","195","1","191","0","1","0","5"
"125","467","2258142","2259388","13","0","13","0","1","105","0","329","0","1","130","0","387","0","3","230","0","530","0","3","264","596","4","468","0","0","8","5"
"127","390","1493637","1494910","3","0","2","0","0","10","0","22","0","0","89","0","196","0","2","188","1","453","0","3","265","547","7","391","0","0","10","10"
"128","292","2304397","2305475","18","0","9","0","0","162","0","497","0","1","320","0","693","0","4","324","0","706","0","4","326","709","4","293","0","0","11","17"
"129","640","1534562","1535774","4","0","8","0","0","67","0","155","0","1","133","0","215","0","2","160","15","244","5","3","332","662","6","641","0","0","5","10"
"131","151","1594830","1596028","38","0","122","0","1","87","0","169","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","87","172","1","152","0","0","4","0"
"132","79","1607486","1608696","5","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","8","0","80","0","0","0","0"
"130","656","2339755","2340794","12","0","2","0","0","22","0","51","0","1","45","0","114","0","1","97","0","252","0","1","353","602","5","657","0","0","5","10"
"133","159","1612597","1613838","4","0","3","0","0","7","0","9","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","8","11","0","160","0","0","0","0"
"134","226","2401144","2402186","82","13","223","2","1","214","13","445","2","3","239","13","507","2","3","-1","-1","-1","-1","-1","239","509","3","227","0","0","1","3"
"135","422","1622557","1623774","11","0","12","0","1","33","0","130","0","1","88","0","282","0","1","145","0","425","0","6","182","486","6","423","0","0","1","6"
"137","96","1662538","1663767","4","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","10","0","97","0","0","0","0"
"136","235","2427033","2428120","30","0","78","0","0","182","0","493","0","5","286","0","674","0","6","-1","-1","-1","-1","-1","288","676","6","236","0","0","4","3"
"138","113","1668311","1669516","8","0","13","0","0","31","0","96","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","31","96","0","114","0","0","1","2"
"139","284","2456560","2457624","16","1","23","0","0","129","30","343","14","1","251","30","555","14","1","279","40","586","16","1","280","590","1","285","0","0","2","8"
"140","316","1676490","1677696","6","0","8","0","0","18","0","78","0","0","92","15","285","1","0","124","15","373","1","0","135","394","0","317","0","0","3","3"
