"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4.1trials10kCtrl1NStartNoFrag60-25.nlogo"
"experiments 2 seeds"
"03/21/2021 16:05:27:209 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"19","19","572","31405674","57152599","97674910","4","0","2","0","0","5","0","2","0","0","5","0","4","0","0","19","0","22","0","0","61","0","159","0","0","278","0","586","0","1","325","617","1","573","0","2","1","3"
"41","41","577","68072606","7148707","9723387","2","0","2","0","0","5","0","4","0","0","6","0","8","0","0","233","0","448","0","6","341","0","653","0","7","422","0","759","0","7","430","770","7","578","5","8","4","6"
"25","25","382","82184414","89099961","70458664","20","0","43","0","0","240","12","339","3","2","735","31","1013","8","8","915","47","1225","10","10","923","47","1227","10","10","-1","-1","-1","-1","-1","924","1227","10","383","7","17","6","35"
"9","9","633","52225802","10416085","15795628","13","0","7","0","0","96","6","108","4","1","99","6","118","4","1","125","6","154","4","1","201","6","290","4","2","286","6","477","4","4","304","502","5","634","3","3","4","6"
"20","20","501","8833021","4965053","31076845","4","0","6","0","0","37","21","36","1","0","376","21","651","1","1","616","21","974","1","6","640","21","996","1","6","654","21","1019","1","6","657","1023","6","502","2","10","13","17"
"43","43","539","33815868","50430491","47021418","3","0","3","0","0","10","0","6","0","1","12","0","7","0","1","34","0","35","0","1","231","0","335","0","2","651","45","872","17","5","694","900","6","540","2","11","5","9"
"16","16","539","71489839","80162375","94721921","3","0","5","0","0","11","0","14","0","0","11","0","17","0","0","131","0","260","0","3","294","16","479","8","5","499","43","852","19","9","532","888","9","540","3","2","4","15"
"33","33","435","81522418","35785564","65548969","5","0","2","0","0","33","0","34","0","0","473","0","665","0","7","879","38","1265","13","15","901","51","1293","17","16","-1","-1","-1","-1","-1","905","1301","16","436","11","52","9","33"
"67","67","299","29650529","56583756","30659019","3","0","4","0","0","12","0","11","0","0","13","0","12","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","18","14","0","300","0","0","1","0"
"11","11","552","7201771","47190765","61300997","6","0","5","0","0","18","0","12","0","0","20","0","15","0","0","246","0","401","0","0","500","22","721","5","1","682","22","957","5","5","692","970","5","553","6","14","5","16"
