"BehaviorSpace results (NetLogo 6.1.2-beta2)"
"SIsaR_0.9.5.2TRIALS_wave2BchangeWorld.nlogo"
"experiments 2 seeds"
"12/09/2020 20:41:49:228 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"40","40","121","3602106","51776405","8","0","20","0","0","67","12","90","7","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","67","90","0","122","0","0","0","1"
"41","41","77","68072606","7148707","2","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","5","4","0","78","0","0","0","0"
"37","37","336","67568514","48484209","6","0","6","0","0","93","0","125","0","1","472","3","788","2","3","510","3","835","2","3","0","0","0","0","0","0","0","0","0","0","510","836","3","337","1","4","3","21"
"43","43","134","33815868","50430491","3","0","3","0","0","10","0","6","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","10","6","1","135","0","0","0","0"
"45","45","57","97179470","62560178","4","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","4","2","0","58","0","0","0","0"
"38","38","333","32443488","69806314","22","17","10","3","0","53","25","52","6","0","185","25","349","6","3","258","25","468","6","6","0","0","0","0","0","0","0","0","0","0","258","468","7","334","1","1","1","5"
"44","44","167","62598886","83621164","1","0","3","0","0","35","15","29","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","36","30","1","168","0","0","0","0"
"42","42","278","68194937","59907445","4","0","4","0","0","24","0","47","0","0","94","0","280","0","1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","102","292","1","279","0","0","4","0"
"48","48","114","32862769","72437350","11","10","7","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","33","28","0","115","0","0","0","1"
"49","49","118","28006094","31077160","4","0","4","0","0","25","11","18","3","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","25","18","1","119","0","0","0","0"
"51","51","80","77907762","97899773","5","1","6","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","17","24","1","81","0","0","0","1"
"52","52","114","51990466","27181894","6","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","27","23","1","115","0","0","0","1"
"47","47","310","68929817","5799712","11","7","7","4","0","76","45","60","16","2","224","45","407","16","2","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","241","429","2","311","0","2","2","4"
"46","46","327","3113868","66387614","31","1","79","0","1","262","59","313","11","3","325","59","416","11","4","342","59","434","11","4","0","0","0","0","0","0","0","0","0","0","342","434","4","328","0","2","7","8"
"54","54","155","51793955","62260395","0","0","3","0","0","9","0","15","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","12","15","1","156","0","0","0","3"
"56","56","37","32207760","37720664","1","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1","3","0","38","0","0","0","0"
"50","50","322","27342177","24644960","14","14","7","1","0","98","14","110","1","1","287","14","575","1","6","319","14","608","1","6","0","0","0","0","0","0","0","0","0","0","319","608","6","323","0","1","7","4"
"57","57","130","22466764","9847939","4","2","14","0","0","47","7","42","1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","47","42","0","131","0","0","0","1"
"53","53","312","95064137","96692942","36","3","66","0","0","269","57","357","13","5","441","57","743","13","7","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","452","758","7","313","0","1","7","11"
"55","55","338","81467598","43587015","8","0","11","0","0","135","0","163","0","3","397","0","745","0","8","425","0","762","0","9","0","0","0","0","0","0","0","0","0","0","425","762","9","339","1","3","3","13"
"60","60","140","46484114","51362207","3","0","4","0","0","10","0","12","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","10","13","0","141","0","0","0","0"
"59","59","283","27574528","93457441","7","1","15","1","0","224","27","295","4","0","383","27","551","4","2","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","384","555","2","284","0","3","1","11"
